candidate,party,office,district,town,votes,precinct
Richard Blumenthal,Working Families Party,U.S. Senate,,Ansonia,21,Ward 1 Ansonia Armory
John Anderson,Write In,U.S. Senate,,Ansonia,0,Ward 1 Ansonia Armory
Shabadjob Bharara,Write In,U.S. Senate,,Ansonia,0,Ward 1 Ansonia Armory
Rosa L. DeLauro,Democratic Party,U.S. House,03,Ansonia,409,Ward 1 Ansonia Armory
Lesley DeNardis,Republican Party,U.S. House,03,Ansonia,300,Ward 1 Ansonia Armory
Amy F. Chai,Independent Party,U.S. House,03,Ansonia,14,Ward 1 Ansonia Armory
Justin Paglino,Green Party,U.S. House,03,Ansonia,4,Ward 1 Ansonia Armory
Jorge Cabrera,Democratic Party,State Senate,17,Ansonia,371,Ward 1 Ansonia Armory
Kathy Hoyt,Republican Party,State Senate,17,Ansonia,311,Ward 1 Ansonia Armory
Jorge Cabrera,Independent Party,State Senate,17,Ansonia,16,Ward 1 Ansonia Armory
Jorge Cabrera,Working Families Party,State Senate,17,Ansonia,16,Ward 1 Ansonia Armory
Kara Rochelle,Democratic Party,State House,104,Ansonia,390,Ward 1 Ansonia Armory
Josh Shuart,Republican Party,State House,104,Ansonia,316,Ward 1 Ansonia Armory
Kara Rochelle,Independent Party,State House,104,Ansonia,10,Ward 1 Ansonia Armory
Kara Rochelle,Working Families Party,State House,104,Ansonia,14,Ward 1 Ansonia Armory
Stephanie Thomas,Democratic Party,Secretary of the State,,Ansonia,385,Ward 1 Ansonia Armory
Dominic Rapini,Republican Party,Secretary of the State,,Ansonia,303,Ward 1 Ansonia Armory
Cynthia R. Jennings,Independent Party,Secretary of the State,,Ansonia,14,Ward 1 Ansonia Armory
Stephanie Thomas,Working Families Party,Secretary of the State,,Ansonia,19,Ward 1 Ansonia Armory
Erick Russell,Democratic Party,Treasurer,,Ansonia,363,Ward 1 Ansonia Armory
Harry Arora,Republican Party,Treasurer,,Ansonia,313,Ward 1 Ansonia Armory
Jennifer Baldwin,Independent Party,Treasurer,,Ansonia,16,Ward 1 Ansonia Armory
Erick Russell,Working Families Party,Treasurer,,Ansonia,19,Ward 1 Ansonia Armory
JoAnna Laiscell,Libertarian Party,Treasurer,,Ansonia,6,Ward 1 Ansonia Armory
Sean Scanlon,Democratic Party,Comptroller,,Ansonia,373,Ward 1 Ansonia Armory
Mary Fay,Republican Party,Comptroller,,Ansonia,317,Ward 1 Ansonia Armory
Sean Scanlon,Independent Party,Comptroller,,Ansonia,9,Ward 1 Ansonia Armory
Sean Scanlon,Working Families Party,Comptroller,,Ansonia,15,Ward 1 Ansonia Armory
William Tong,Democratic Party,Attorney General,,Ansonia,407,Ward 1 Ansonia Armory
Jessica Kordas,Republican Party,Attorney General,,Ansonia,292,Ward 1 Ansonia Armory
A.P. Pascarella,Independent Party,Attorney General,,Ansonia,8,Ward 1 Ansonia Armory
William Tong,Working Families Party,Attorney General,,Ansonia,15,Ward 1 Ansonia Armory
Ken Krayeske,Green Party,Attorney General,,Ansonia,2,Ward 1 Ansonia Armory
Clifford P. Hoyle,Democratic Party,Judge of Probate,41,Ansonia,397,Ward 1 Ansonia Armory
Clifford P. Hoyle,Republican Party,Judge of Probate,41,Ansonia,303,Ward 1 Ansonia Armory
Ned Lamont and Susan Bysiewicz,Democratic Party,Governor and Lieutenant Governor,,Ansonia,338,Ward 2 Ansonia Armory
Bob Stefanowski and Laura Devlin,Republican Party,Governor and Lieutenant Governor,,Ansonia,270,Ward 2 Ansonia Armory
Ned Lamont and Susan Bysiewicz,Griebel Frank for CT Party,Governor and Lieutenant Governor,,Ansonia,0,Ward 2 Ansonia Armory
"Robert Hotaling and Stewart ""Chip"" Beckett",Independent Party,Governor and Lieutenant Governor,,Ansonia,6,Ward 2 Ansonia Armory
Ned Lamont and Susan Bysiewicz,Working Families Party,Governor and Lieutenant Governor,,Ansonia,7,Ward 2 Ansonia Armory
Michelle Louise Bicking and Cassandra A. Martineau,Write In,Governor and Lieutenant Governor,,Ansonia,0,Ward 2 Ansonia Armory
Richard Blumenthal,Democratic Party,U.S. Senate,,Ansonia,348,Ward 2 Ansonia Armory
Leora R. Levy,Republican Party,U.S. Senate,,Ansonia,253,Ward 2 Ansonia Armory
Richard Blumenthal,Working Families Party,U.S. Senate,,Ansonia,13,Ward 2 Ansonia Armory
John Anderson,Write In,U.S. Senate,,Ansonia,0,Ward 2 Ansonia Armory
Shabadjob Bharara,Write In,U.S. Senate,,Ansonia,0,Ward 2 Ansonia Armory
Rosa L. DeLauro,Democratic Party,U.S. House,03,Ansonia,360,Ward 2 Ansonia Armory
Lesley DeNardis,Republican Party,U.S. House,03,Ansonia,237,Ward 2 Ansonia Armory
Amy F. Chai,Independent Party,U.S. House,03,Ansonia,9,Ward 2 Ansonia Armory
Justin Paglino,Green Party,U.S. House,03,Ansonia,2,Ward 2 Ansonia Armory
Jorge Cabrera,Democratic Party,State Senate,17,Ansonia,328,Ward 2 Ansonia Armory
Kathy Hoyt,Republican Party,State Senate,17,Ansonia,260,Ward 2 Ansonia Armory
Jorge Cabrera,Independent Party,State Senate,17,Ansonia,4,Ward 2 Ansonia Armory
Jorge Cabrera,Working Families Party,State Senate,17,Ansonia,9,Ward 2 Ansonia Armory
Kara Rochelle,Democratic Party,State House,104,Ansonia,339,Ward 2 Ansonia Armory
Josh Shuart,Republican Party,State House,104,Ansonia,258,Ward 2 Ansonia Armory
Kara Rochelle,Independent Party,State House,104,Ansonia,4,Ward 2 Ansonia Armory
Kara Rochelle,Working Families Party,State House,104,Ansonia,11,Ward 2 Ansonia Armory
Stephanie Thomas,Democratic Party,Secretary of the State,,Ansonia,323,Ward 2 Ansonia Armory
Dominic Rapini,Republican Party,Secretary of the State,,Ansonia,259,Ward 2 Ansonia Armory
Cynthia R. Jennings,Independent Party,Secretary of the State,,Ansonia,4,Ward 2 Ansonia Armory
Stephanie Thomas,Working Families Party,Secretary of the State,,Ansonia,11,Ward 2 Ansonia Armory
Erick Russell,Democratic Party,Treasurer,,Ansonia,322,Ward 2 Ansonia Armory
Harry Arora,Republican Party,Treasurer,,Ansonia,257,Ward 2 Ansonia Armory
Jennifer Baldwin,Independent Party,Treasurer,,Ansonia,7,Ward 2 Ansonia Armory
Erick Russell,Working Families Party,Treasurer,,Ansonia,12,Ward 2 Ansonia Armory
JoAnna Laiscell,Libertarian Party,Treasurer,,Ansonia,3,Ward 2 Ansonia Armory
Sean Scanlon,Democratic Party,Comptroller,,Ansonia,321,Ward 2 Ansonia Armory
Mary Fay,Republican Party,Comptroller,,Ansonia,265,Ward 2 Ansonia Armory
Sean Scanlon,Independent Party,Comptroller,,Ansonia,1,Ward 2 Ansonia Armory
Sean Scanlon,Working Families Party,Comptroller,,Ansonia,10,Ward 2 Ansonia Armory
William Tong,Democratic Party,Attorney General,,Ansonia,343,Ward 2 Ansonia Armory
Jessica Kordas,Republican Party,Attorney General,,Ansonia,245,Ward 2 Ansonia Armory
A.P. Pascarella,Independent Party,Attorney General,,Ansonia,3,Ward 2 Ansonia Armory
William Tong,Working Families Party,Attorney General,,Ansonia,12,Ward 2 Ansonia Armory
Ken Krayeske,Green Party,Attorney General,,Ansonia,1,Ward 2 Ansonia Armory
Clifford P. Hoyle,Democratic Party,Judge of Probate,41,Ansonia,342,Ward 2 Ansonia Armory
Clifford P. Hoyle,Republican Party,Judge of Probate,41,Ansonia,251,Ward 2 Ansonia Armory
Ned Lamont and Susan Bysiewicz,Democratic Party,Governor and Lieutenant Governor,,Ansonia,312,Ward 3 Holy Rosary Church Hall
Bob Stefanowski and Laura Devlin,Republican Party,Governor and Lieutenant Governor,,Ansonia,322,Ward 3 Holy Rosary Church Hall
Ned Lamont and Susan Bysiewicz,Griebel Frank for CT Party,Governor and Lieutenant Governor,,Ansonia,3,Ward 3 Holy Rosary Church Hall
"Robert Hotaling and Stewart ""Chip"" Beckett",Independent Party,Governor and Lieutenant Governor,,Ansonia,7,Ward 3 Holy Rosary Church Hall
Ned Lamont and Susan Bysiewicz,Working Families Party,Governor and Lieutenant Governor,,Ansonia,7,Ward 3 Holy Rosary Church Hall
Michelle Louise Bicking and Cassandra A. Martineau,Write In,Governor and Lieutenant Governor,,Ansonia,0,Ward 3 Holy Rosary Church Hall
Richard Blumenthal,Democratic Party,U.S. Senate,,Ansonia,320,Ward 3 Holy Rosary Church Hall
Leora R. Levy,Republican Party,U.S. Senate,,Ansonia,307,Ward 3 Holy Rosary Church Hall
Richard Blumenthal,Working Families Party,U.S. Senate,,Ansonia,11,Ward 3 Holy Rosary Church Hall
John Anderson,Write In,U.S. Senate,,Ansonia,0,Ward 3 Holy Rosary Church Hall
Shabadjob Bharara,Write In,U.S. Senate,,Ansonia,0,Ward 3 Holy Rosary Church Hall
Rosa L. DeLauro,Democratic Party,U.S. House,03,Ansonia,331,Ward 3 Holy Rosary Church Hall
Lesley DeNardis,Republican Party,U.S. House,03,Ansonia,287,Ward 3 Holy Rosary Church Hall
Amy F. Chai,Independent Party,U.S. House,03,Ansonia,10,Ward 3 Holy Rosary Church Hall
Justin Paglino,Green Party,U.S. House,03,Ansonia,1,Ward 3 Holy Rosary Church Hall
Jorge Cabrera,Democratic Party,State Senate,17,Ansonia,301,Ward 3 Holy Rosary Church Hall
Kathy Hoyt,Republican Party,State Senate,17,Ansonia,313,Ward 3 Holy Rosary Church Hall
Jorge Cabrera,Independent Party,State Senate,17,Ansonia,9,Ward 3 Holy Rosary Church Hall
Jorge Cabrera,Working Families Party,State Senate,17,Ansonia,9,Ward 3 Holy Rosary Church Hall
Kara Rochelle,Democratic Party,State House,104,Ansonia,297,Ward 3 Holy Rosary Church Hall
Josh Shuart,Republican Party,State House,104,Ansonia,321,Ward 3 Holy Rosary Church Hall
Kara Rochelle,Independent Party,State House,104,Ansonia,15,Ward 3 Holy Rosary Church Hall
Kara Rochelle,Working Families Party,State House,104,Ansonia,8,Ward 3 Holy Rosary Church Hall
Stephanie Thomas,Democratic Party,Secretary of the State,,Ansonia,288,Ward 3 Holy Rosary Church Hall
Dominic Rapini,Republican Party,Secretary of the State,,Ansonia,308,Ward 3 Holy Rosary Church Hall
Cynthia R. Jennings,Independent Party,Secretary of the State,,Ansonia,14,Ward 3 Holy Rosary Church Hall
Stephanie Thomas,Working Families Party,Secretary of the State,,Ansonia,10,Ward 3 Holy Rosary Church Hall
Erick Russell,Democratic Party,Treasurer,,Ansonia,289,Ward 3 Holy Rosary Church Hall
Harry Arora,Republican Party,Treasurer,,Ansonia,292,Ward 3 Holy Rosary Church Hall
Jennifer Baldwin,Independent Party,Treasurer,,Ansonia,20,Ward 3 Holy Rosary Church Hall
Erick Russell,Working Families Party,Treasurer,,Ansonia,13,Ward 3 Holy Rosary Church Hall
JoAnna Laiscell,Libertarian Party,Treasurer,,Ansonia,6,Ward 3 Holy Rosary Church Hall
Sean Scanlon,Democratic Party,Comptroller,,Ansonia,288,Ward 3 Holy Rosary Church Hall
Mary Fay,Republican Party,Comptroller,,Ansonia,311,Ward 3 Holy Rosary Church Hall
Sean Scanlon,Independent Party,Comptroller,,Ansonia,10,Ward 3 Holy Rosary Church Hall
Sean Scanlon,Working Families Party,Comptroller,,Ansonia,8,Ward 3 Holy Rosary Church Hall
William Tong,Democratic Party,Attorney General,,Ansonia,308,Ward 3 Holy Rosary Church Hall
Jessica Kordas,Republican Party,Attorney General,,Ansonia,290,Ward 3 Holy Rosary Church Hall
A.P. Pascarella,Independent Party,Attorney General,,Ansonia,12,Ward 3 Holy Rosary Church Hall
William Tong,Working Families Party,Attorney General,,Ansonia,12,Ward 3 Holy Rosary Church Hall
Ken Krayeske,Green Party,Attorney General,,Ansonia,3,Ward 3 Holy Rosary Church Hall
Clifford P. Hoyle,Democratic Party,Judge of Probate,41,Ansonia,308,Ward 3 Holy Rosary Church Hall
Clifford P. Hoyle,Republican Party,Judge of Probate,41,Ansonia,302,Ward 3 Holy Rosary Church Hall
Ned Lamont and Susan Bysiewicz,Democratic Party,Governor and Lieutenant Governor,,Ansonia,216,Ward 4 Ansonia Middle School Gym
Bob Stefanowski and Laura Devlin,Republican Party,Governor and Lieutenant Governor,,Ansonia,173,Ward 4 Ansonia Middle School Gym
Ned Lamont and Susan Bysiewicz,Griebel Frank for CT Party,Governor and Lieutenant Governor,,Ansonia,2,Ward 4 Ansonia Middle School Gym
"Robert Hotaling and Stewart ""Chip"" Beckett",Independent Party,Governor and Lieutenant Governor,,Ansonia,3,Ward 4 Ansonia Middle School Gym
Ned Lamont and Susan Bysiewicz,Working Families Party,Governor and Lieutenant Governor,,Ansonia,7,Ward 4 Ansonia Middle School Gym
Michelle Louise Bicking and Cassandra A. Martineau,Write In,Governor and Lieutenant Governor,,Ansonia,0,Ward 4 Ansonia Middle School Gym
Richard Blumenthal,Democratic Party,U.S. Senate,,Ansonia,224,Ward 4 Ansonia Middle School Gym
Leora R. Levy,Republican Party,U.S. Senate,,Ansonia,161,Ward 4 Ansonia Middle School Gym
Richard Blumenthal,Working Families Party,U.S. Senate,,Ansonia,8,Ward 4 Ansonia Middle School Gym
John Anderson,Write In,U.S. Senate,,Ansonia,0,Ward 4 Ansonia Middle School Gym
Shabadjob Bharara,Write In,U.S. Senate,,Ansonia,0,Ward 4 Ansonia Middle School Gym
Rosa L. DeLauro,Democratic Party,U.S. House,03,Ansonia,231,Ward 4 Ansonia Middle School Gym
Lesley DeNardis,Republican Party,U.S. House,03,Ansonia,151,Ward 4 Ansonia Middle School Gym
Amy F. Chai,Independent Party,U.S. House,03,Ansonia,9,Ward 4 Ansonia Middle School Gym
Justin Paglino,Green Party,U.S. House,03,Ansonia,6,Ward 4 Ansonia Middle School Gym
Jorge Cabrera,Democratic Party,State Senate,17,Ansonia,221,Ward 4 Ansonia Middle School Gym
Kathy Hoyt,Republican Party,State Senate,17,Ansonia,155,Ward 4 Ansonia Middle School Gym
Jorge Cabrera,Independent Party,State Senate,17,Ansonia,6,Ward 4 Ansonia Middle School Gym
Jorge Cabrera,Working Families Party,State Senate,17,Ansonia,8,Ward 4 Ansonia Middle School Gym
Kara Rochelle,Democratic Party,State House,104,Ansonia,226,Ward 4 Ansonia Middle School Gym
Josh Shuart,Republican Party,State House,104,Ansonia,158,Ward 4 Ansonia Middle School Gym
Kara Rochelle,Independent Party,State House,104,Ansonia,8,Ward 4 Ansonia Middle School Gym
Kara Rochelle,Working Families Party,State House,104,Ansonia,6,Ward 4 Ansonia Middle School Gym
Stephanie Thomas,Democratic Party,Secretary of the State,,Ansonia,216,Ward 4 Ansonia Middle School Gym
Dominic Rapini,Republican Party,Secretary of the State,,Ansonia,162,Ward 4 Ansonia Middle School Gym
Cynthia R. Jennings,Independent Party,Secretary of the State,,Ansonia,5,Ward 4 Ansonia Middle School Gym
Stephanie Thomas,Working Families Party,Secretary of the State,,Ansonia,9,Ward 4 Ansonia Middle School Gym
Erick Russell,Democratic Party,Treasurer,,Ansonia,208,Ward 4 Ansonia Middle School Gym
Harry Arora,Republican Party,Treasurer,,Ansonia,161,Ward 4 Ansonia Middle School Gym
Jennifer Baldwin,Independent Party,Treasurer,,Ansonia,9,Ward 4 Ansonia Middle School Gym
Erick Russell,Working Families Party,Treasurer,,Ansonia,9,Ward 4 Ansonia Middle School Gym
JoAnna Laiscell,Libertarian Party,Treasurer,,Ansonia,4,Ward 4 Ansonia Middle School Gym
Sean Scanlon,Democratic Party,Comptroller,,Ansonia,216,Ward 4 Ansonia Middle School Gym
Mary Fay,Republican Party,Comptroller,,Ansonia,161,Ward 4 Ansonia Middle School Gym
Sean Scanlon,Independent Party,Comptroller,,Ansonia,5,Ward 4 Ansonia Middle School Gym
Sean Scanlon,Working Families Party,Comptroller,,Ansonia,7,Ward 4 Ansonia Middle School Gym
William Tong,Democratic Party,Attorney General,,Ansonia,221,Ward 4 Ansonia Middle School Gym
Jessica Kordas,Republican Party,Attorney General,,Ansonia,157,Ward 4 Ansonia Middle School Gym
A.P. Pascarella,Independent Party,Attorney General,,Ansonia,4,Ward 4 Ansonia Middle School Gym
William Tong,Working Families Party,Attorney General,,Ansonia,10,Ward 4 Ansonia Middle School Gym
Ken Krayeske,Green Party,Attorney General,,Ansonia,3,Ward 4 Ansonia Middle School Gym
Clifford P. Hoyle,Democratic Party,Judge of Probate,41,Ansonia,232,Ward 4 Ansonia Middle School Gym
Clifford P. Hoyle,Republican Party,Judge of Probate,41,Ansonia,155,Ward 4 Ansonia Middle School Gym
Ned Lamont and Susan Bysiewicz,Democratic Party,Governor and Lieutenant Governor,,Ansonia,336,Ward 5 Ansonia Middle School Gym
Bob Stefanowski and Laura Devlin,Republican Party,Governor and Lieutenant Governor,,Ansonia,345,Ward 5 Ansonia Middle School Gym
Ned Lamont and Susan Bysiewicz,Griebel Frank for CT Party,Governor and Lieutenant Governor,,Ansonia,0,Ward 5 Ansonia Middle School Gym
"Robert Hotaling and Stewart ""Chip"" Beckett",Independent Party,Governor and Lieutenant Governor,,Ansonia,15,Ward 5 Ansonia Middle School Gym
Ned Lamont and Susan Bysiewicz,Working Families Party,Governor and Lieutenant Governor,,Ansonia,9,Ward 5 Ansonia Middle School Gym
Michelle Louise Bicking and Cassandra A. Martineau,Write In,Governor and Lieutenant Governor,,Ansonia,0,Ward 5 Ansonia Middle School Gym
Richard Blumenthal,Democratic Party,U.S. Senate,,Ansonia,360,Ward 5 Ansonia Middle School Gym
Leora R. Levy,Republican Party,U.S. Senate,,Ansonia,323,Ward 5 Ansonia Middle School Gym
Richard Blumenthal,Working Families Party,U.S. Senate,,Ansonia,16,Ward 5 Ansonia Middle School Gym
John Anderson,Write In,U.S. Senate,,Ansonia,0,Ward 5 Ansonia Middle School Gym
Shabadjob Bharara,Write In,U.S. Senate,,Ansonia,0,Ward 5 Ansonia Middle School Gym
Rosa L. DeLauro,Democratic Party,U.S. House,03,Ansonia,374,Ward 5 Ansonia Middle School Gym
Lesley DeNardis,Republican Party,U.S. House,03,Ansonia,309,Ward 5 Ansonia Middle School Gym
Amy F. Chai,Independent Party,U.S. House,03,Ansonia,13,Ward 5 Ansonia Middle School Gym
Justin Paglino,Green Party,U.S. House,03,Ansonia,4,Ward 5 Ansonia Middle School Gym
Jorge Cabrera,Democratic Party,State Senate,17,Ansonia,336,Ward 5 Ansonia Middle School Gym
Kathy Hoyt,Republican Party,State Senate,17,Ansonia,329,Ward 5 Ansonia Middle School Gym
Jorge Cabrera,Independent Party,State Senate,17,Ansonia,14,Ward 5 Ansonia Middle School Gym
Jorge Cabrera,Working Families Party,State Senate,17,Ansonia,9,Ward 5 Ansonia Middle School Gym
Kara Rochelle,Democratic Party,State House,104,Ansonia,339,Ward 5 Ansonia Middle School Gym
Josh Shuart,Republican Party,State House,104,Ansonia,338,Ward 5 Ansonia Middle School Gym
Kara Rochelle,Independent Party,State House,104,Ansonia,11,Ward 5 Ansonia Middle School Gym
Kara Rochelle,Working Families Party,State House,104,Ansonia,10,Ward 5 Ansonia Middle School Gym
Stephanie Thomas,Democratic Party,Secretary of the State,,Ansonia,339,Ward 5 Ansonia Middle School Gym
Dominic Rapini,Republican Party,Secretary of the State,,Ansonia,324,Ward 5 Ansonia Middle School Gym
Cynthia R. Jennings,Independent Party,Secretary of the State,,Ansonia,15,Ward 5 Ansonia Middle School Gym
Stephanie Thomas,Working Families Party,Secretary of the State,,Ansonia,10,Ward 5 Ansonia Middle School Gym
Erick Russell,Democratic Party,Treasurer,,Ansonia,337,Ward 5 Ansonia Middle School Gym
Harry Arora,Republican Party,Treasurer,,Ansonia,320,Ward 5 Ansonia Middle School Gym
Jennifer Baldwin,Independent Party,Treasurer,,Ansonia,11,Ward 5 Ansonia Middle School Gym
Erick Russell,Working Families Party,Treasurer,,Ansonia,14,Ward 5 Ansonia Middle School Gym
JoAnna Laiscell,Libertarian Party,Treasurer,,Ansonia,5,Ward 5 Ansonia Middle School Gym
Sean Scanlon,Democratic Party,Comptroller,,Ansonia,335,Ward 5 Ansonia Middle School Gym
Mary Fay,Republican Party,Comptroller,,Ansonia,331,Ward 5 Ansonia Middle School Gym
Sean Scanlon,Independent Party,Comptroller,,Ansonia,7,Ward 5 Ansonia Middle School Gym
Sean Scanlon,Working Families Party,Comptroller,,Ansonia,11,Ward 5 Ansonia Middle School Gym
William Tong,Democratic Party,Attorney General,,Ansonia,353,Ward 5 Ansonia Middle School Gym
Jessica Kordas,Republican Party,Attorney General,,Ansonia,323,Ward 5 Ansonia Middle School Gym
A.P. Pascarella,Independent Party,Attorney General,,Ansonia,5,Ward 5 Ansonia Middle School Gym
William Tong,Working Families Party,Attorney General,,Ansonia,12,Ward 5 Ansonia Middle School Gym
Ken Krayeske,Green Party,Attorney General,,Ansonia,2,Ward 5 Ansonia Middle School Gym
Clifford P. Hoyle,Democratic Party,Judge of Probate,41,Ansonia,351,Ward 5 Ansonia Middle School Gym
Clifford P. Hoyle,Republican Party,Judge of Probate,41,Ansonia,323,Ward 5 Ansonia Middle School Gym
Ned Lamont and Susan Bysiewicz,Democratic Party,Governor and Lieutenant Governor,,Ansonia,448,Ward 6 Prendergast School Gym
Bob Stefanowski and Laura Devlin,Republican Party,Governor and Lieutenant Governor,,Ansonia,525,Ward 6 Prendergast School Gym
Ned Lamont and Susan Bysiewicz,Griebel Frank for CT Party,Governor and Lieutenant Governor,,Ansonia,4,Ward 6 Prendergast School Gym
"Robert Hotaling and Stewart ""Chip"" Beckett",Independent Party,Governor and Lieutenant Governor,,Ansonia,13,Ward 6 Prendergast School Gym
Ned Lamont and Susan Bysiewicz,Working Families Party,Governor and Lieutenant Governor,,Ansonia,10,Ward 6 Prendergast School Gym
Michelle Louise Bicking and Cassandra A. Martineau,Write In,Governor and Lieutenant Governor,,Ansonia,0,Ward 6 Prendergast School Gym
Richard Blumenthal,Democratic Party,U.S. Senate,,Ansonia,444,Ward 6 Prendergast School Gym
Leora R. Levy,Republican Party,U.S. Senate,,Ansonia,529,Ward 6 Prendergast School Gym
Richard Blumenthal,Working Families Party,U.S. Senate,,Ansonia,15,Ward 6 Prendergast School Gym
John Anderson,Write In,U.S. Senate,,Ansonia,0,Ward 6 Prendergast School Gym
Shabadjob Bharara,Write In,U.S. Senate,,Ansonia,0,Ward 6 Prendergast School Gym
Rosa L. DeLauro,Democratic Party,U.S. House,03,Ansonia,455,Ward 6 Prendergast School Gym
Lesley DeNardis,Republican Party,U.S. House,03,Ansonia,505,Ward 6 Prendergast School Gym
Amy F. Chai,Independent Party,U.S. House,03,Ansonia,22,Ward 6 Prendergast School Gym
Justin Paglino,Green Party,U.S. House,03,Ansonia,11,Ward 6 Prendergast School Gym
Jorge Cabrera,Democratic Party,State Senate,17,Ansonia,431,Ward 6 Prendergast School Gym
Kathy Hoyt,Republican Party,State Senate,17,Ansonia,515,Ward 6 Prendergast School Gym
Jorge Cabrera,Independent Party,State Senate,17,Ansonia,20,Ward 6 Prendergast School Gym
Jorge Cabrera,Working Families Party,State Senate,17,Ansonia,9,Ward 6 Prendergast School Gym
Kara Rochelle,Democratic Party,State House,104,Ansonia,445,Ward 6 Prendergast School Gym
Josh Shuart,Republican Party,State House,104,Ansonia,530,Ward 6 Prendergast School Gym
Kara Rochelle,Independent Party,State House,104,Ansonia,15,Ward 6 Prendergast School Gym
Kara Rochelle,Working Families Party,State House,104,Ansonia,9,Ward 6 Prendergast School Gym
Stephanie Thomas,Democratic Party,Secretary of the State,,Ansonia,408,Ward 6 Prendergast School Gym
Dominic Rapini,Republican Party,Secretary of the State,,Ansonia,519,Ward 6 Prendergast School Gym
