candidate,party,office,district,town,votes,precinct
Peter Lumaj,Republican Party,U.S. Senate,,Hartford,0,Alfred Burr Middle School
Themis Klarides,Republican Party,U.S. Senate,,Hartford,3,Alfred Burr Middle School
Maritza Bond,Democratic Party,Secretary of the State,,Andover,31,Andover Town Hall
Stephanie Thomas,Democratic Party,Secretary of the State,,Andover,87,Andover Town Hall
Dita Bhargava,Democratic Party,Treasurer,,Andover,34,Andover Town Hall
Erick Russell,Democratic Party,Treasurer,,Andover,67,Andover Town Hall
Karen Dubois-Walton,Democratic Party,Treasurer,,Andover,19,Andover Town Hall
Dominic Rapini,Republican Party,Secretary of the State,,Andover,85,Andover Town Hall
Terrie E. Wood,Republican Party,Secretary of the State,,Andover,58,Andover Town Hall
Leora R. Levy,Republican Party,U.S. Senate,,Andover,84,Andover Town Hall
Peter Lumaj,Republican Party,U.S. Senate,,Andover,16,Andover Town Hall
Themis Klarides,Republican Party,U.S. Senate,,Andover,52,Andover Town Hall
Maritza Bond,Democratic Party,Secretary of the State,,Naugatuck,27,Andrew Avenue School
Stephanie Thomas,Democratic Party,Secretary of the State,,Naugatuck,52,Andrew Avenue School
Dita Bhargava,Democratic Party,Treasurer,,Naugatuck,13,Andrew Avenue School
Erick Russell,Democratic Party,Treasurer,,Naugatuck,58,Andrew Avenue School
Karen Dubois-Walton,Democratic Party,Treasurer,,Naugatuck,6,Andrew Avenue School
Dominic Rapini,Republican Party,Secretary of the State,,Naugatuck,115,Andrew Avenue School
Terrie E. Wood,Republican Party,Secretary of the State,,Naugatuck,83,Andrew Avenue School
Leora R. Levy,Republican Party,U.S. Senate,,Naugatuck,75,Andrew Avenue School
Peter Lumaj,Republican Party,U.S. Senate,,Naugatuck,29,Andrew Avenue School
Themis Klarides,Republican Party,U.S. Senate,,Naugatuck,111,Andrew Avenue School
Maritza Bond,Democratic Party,Secretary of the State,,Naugatuck,11,Andrew Avenue School A
Stephanie Thomas,Democratic Party,Secretary of the State,,Naugatuck,46,Andrew Avenue School A
Dita Bhargava,Democratic Party,Treasurer,,Naugatuck,9,Andrew Avenue School A
Erick Russell,Democratic Party,Treasurer,,Naugatuck,34,Andrew Avenue School A
Karen Dubois-Walton,Democratic Party,Treasurer,,Naugatuck,15,Andrew Avenue School A
Dominic Rapini,Republican Party,Secretary of the State,,Naugatuck,63,Andrew Avenue School A
Terrie E. Wood,Republican Party,Secretary of the State,,Naugatuck,43,Andrew Avenue School A
Leora R. Levy,Republican Party,U.S. Senate,,Naugatuck,38,Andrew Avenue School A
Peter Lumaj,Republican Party,U.S. Senate,,Naugatuck,6,Andrew Avenue School A
Themis Klarides,Republican Party,U.S. Senate,,Naugatuck,77,Andrew Avenue School A
Maritza Bond,Democratic Party,Secretary of the State,,Clinton,91,Andrews Memorial Town Hall
Stephanie Thomas,Democratic Party,Secretary of the State,,Clinton,360,Andrews Memorial Town Hall
Dita Bhargava,Democratic Party,Treasurer,,Clinton,100,Andrews Memorial Town Hall
Erick Russell,Democratic Party,Treasurer,,Clinton,277,Andrews Memorial Town Hall
Karen Dubois-Walton,Democratic Party,Treasurer,,Clinton,76,Andrews Memorial Town Hall
Dominic Rapini,Republican Party,Secretary of the State,,Clinton,257,Andrews Memorial Town Hall
Terrie E. Wood,Republican Party,Secretary of the State,,Clinton,194,Andrews Memorial Town Hall
Leora R. Levy,Republican Party,U.S. Senate,,Clinton,272,Andrews Memorial Town Hall
Peter Lumaj,Republican Party,U.S. Senate,,Clinton,47,Andrews Memorial Town Hall
Themis Klarides,Republican Party,U.S. Senate,,Clinton,179,Andrews Memorial Town Hall
Maritza Bond,Democratic Party,Secretary of the State,,West Haven,113,Ann V. Molloy School
Stephanie Thomas,Democratic Party,Secretary of the State,,West Haven,229,Ann V. Molloy School
Joseph Miller,Democratic Party,State House,116,West Haven,89,Ann V. Molloy School
Trenee McGee,Democratic Party,State House,116,West Haven,279,Ann V. Molloy School
Dita Bhargava,Democratic Party,Treasurer,,West Haven,40,Ann V. Molloy School
Erick Russell,Democratic Party,Treasurer,,West Haven,223,Ann V. Molloy School
Karen Dubois-Walton,Democratic Party,Treasurer,,West Haven,87,Ann V. Molloy School
Dominic Rapini,Republican Party,Secretary of the State,,West Haven,26,Ann V. Molloy School
Terrie E. Wood,Republican Party,Secretary of the State,,West Haven,10,Ann V. Molloy School
Leora R. Levy,Republican Party,U.S. Senate,,West Haven,19,Ann V. Molloy School
Peter Lumaj,Republican Party,U.S. Senate,,West Haven,8,Ann V. Molloy School
Themis Klarides,Republican Party,U.S. Senate,,West Haven,13,Ann V. Molloy School
Maritza Bond,Democratic Party,Secretary of the State,,East Hartford,45,Anna Norris School
Stephanie Thomas,Democratic Party,Secretary of the State,,East Hartford,112,Anna Norris School
Dita Bhargava,Democratic Party,Treasurer,,East Hartford,21,Anna Norris School
Erick Russell,Democratic Party,Treasurer,,East Hartford,102,Anna Norris School
Karen Dubois-Walton,Democratic Party,Treasurer,,East Hartford,36,Anna Norris School
Dominic Rapini,Republican Party,Secretary of the State,,East Hartford,41,Anna Norris School
Terrie E. Wood,Republican Party,Secretary of the State,,East Hartford,27,Anna Norris School
Leora R. Levy,Republican Party,U.S. Senate,,East Hartford,37,Anna Norris School
Peter Lumaj,Republican Party,U.S. Senate,,East Hartford,4,Anna Norris School
Themis Klarides,Republican Party,U.S. Senate,,East Hartford,32,Anna Norris School
Maritza Bond,Democratic Party,Secretary of the State,,Mansfield,43,Annie E. Vinton School
Stephanie Thomas,Democratic Party,Secretary of the State,,Mansfield,199,Annie E. Vinton School
Dita Bhargava,Democratic Party,Treasurer,,Mansfield,60,Annie E. Vinton School
Erick Russell,Democratic Party,Treasurer,,Mansfield,145,Annie E. Vinton School
Karen Dubois-Walton,Democratic Party,Treasurer,,Mansfield,39,Annie E. Vinton School
Dominic Rapini,Republican Party,Secretary of the State,,Mansfield,36,Annie E. Vinton School
Terrie E. Wood,Republican Party,Secretary of the State,,Mansfield,37,Annie E. Vinton School
Leora R. Levy,Republican Party,U.S. Senate,,Mansfield,45,Annie E. Vinton School
Peter Lumaj,Republican Party,U.S. Senate,,Mansfield,7,Annie E. Vinton School
Themis Klarides,Republican Party,U.S. Senate,,Mansfield,21,Annie E. Vinton School
Maritza Bond,Democratic Party,Secretary of the State,,Hartford,8,Annie Fisher School - Gym
Stephanie Thomas,Democratic Party,Secretary of the State,,Hartford,177,Annie Fisher School - Gym
Dita Bhargava,Democratic Party,Treasurer,,Hartford,132,Annie Fisher School - Gym
Erick Russell,Democratic Party,Treasurer,,Hartford,9,Annie Fisher School - Gym
Karen Dubois-Walton,Democratic Party,Treasurer,,Hartford,10,Annie Fisher School - Gym
Dominic Rapini,Republican Party,Secretary of the State,,Hartford,2,Annie Fisher School - Gym
Terrie E. Wood,Republican Party,Secretary of the State,,Hartford,1,Annie Fisher School - Gym
Leora R. Levy,Republican Party,U.S. Senate,,Hartford,1,Annie Fisher School - Gym
Peter Lumaj,Republican Party,U.S. Senate,,Hartford,0,Annie Fisher School - Gym
Themis Klarides,Republican Party,U.S. Senate,,Hartford,2,Annie Fisher School - Gym
Maritza Bond,Democratic Party,Secretary of the State,,Torrington,55,Armory
Stephanie Thomas,Democratic Party,Secretary of the State,,Torrington,112,Armory
Dita Bhargava,Democratic Party,Treasurer,,Torrington,33,Armory
Erick Russell,Democratic Party,Treasurer,,Torrington,92,Armory
Karen Dubois-Walton,Democratic Party,Treasurer,,Torrington,41,Armory
Dominic Rapini,Republican Party,Secretary of the State,,Torrington,147,Armory
Terrie E. Wood,Republican Party,Secretary of the State,,Torrington,131,Armory
Leora R. Levy,Republican Party,U.S. Senate,,Torrington,164,Armory
Peter Lumaj,Republican Party,U.S. Senate,,Torrington,25,Armory
Themis Klarides,Republican Party,U.S. Senate,,Torrington,105,Armory
Maritza Bond,Democratic Party,Secretary of the State,,Cheshire,61,Artsplace - District 3-1
Stephanie Thomas,Democratic Party,Secretary of the State,,Cheshire,95,Artsplace - District 3-1
Dita Bhargava,Democratic Party,Treasurer,,Cheshire,46,Artsplace - District 3-1
Erick Russell,Democratic Party,Treasurer,,Cheshire,81,Artsplace - District 3-1
Karen Dubois-Walton,Democratic Party,Treasurer,,Cheshire,28,Artsplace - District 3-1
Dominic Rapini,Republican Party,Secretary of the State,,Cheshire,128,Artsplace - District 3-1
Terrie E. Wood,Republican Party,Secretary of the State,,Cheshire,63,Artsplace - District 3-1
Leora R. Levy,Republican Party,U.S. Senate,,Cheshire,104,Artsplace - District 3-1
Peter Lumaj,Republican Party,U.S. Senate,,Cheshire,21,Artsplace - District 3-1
Themis Klarides,Republican Party,U.S. Senate,,Cheshire,85,Artsplace - District 3-1
Maritza Bond,Democratic Party,Secretary of the State,,Cheshire,0,Artsplace - District 3-2
Stephanie Thomas,Democratic Party,Secretary of the State,,Cheshire,0,Artsplace - District 3-2
Dita Bhargava,Democratic Party,Treasurer,,Cheshire,0,Artsplace - District 3-2
Erick Russell,Democratic Party,Treasurer,,Cheshire,0,Artsplace - District 3-2
Karen Dubois-Walton,Democratic Party,Treasurer,,Cheshire,0,Artsplace - District 3-2
Dominic Rapini,Republican Party,Secretary of the State,,Cheshire,0,Artsplace - District 3-2
Terrie E. Wood,Republican Party,Secretary of the State,,Cheshire,0,Artsplace - District 3-2
Leora R. Levy,Republican Party,U.S. Senate,,Cheshire,0,Artsplace - District 3-2
Peter Lumaj,Republican Party,U.S. Senate,,Cheshire,0,Artsplace - District 3-2
Themis Klarides,Republican Party,U.S. Senate,,Cheshire,0,Artsplace - District 3-2
Maritza Bond,Democratic Party,Secretary of the State,,Harwinton,17,Assembly Hall
Stephanie Thomas,Democratic Party,Secretary of the State,,Harwinton,66,Assembly Hall
Dita Bhargava,Democratic Party,Treasurer,,Harwinton,22,Assembly Hall
Erick Russell,Democratic Party,Treasurer,,Harwinton,52,Assembly Hall
Karen Dubois-Walton,Democratic Party,Treasurer,,Harwinton,9,Assembly Hall
Dominic Rapini,Republican Party,Secretary of the State,,Harwinton,99,Assembly Hall
Terrie E. Wood,Republican Party,Secretary of the State,,Harwinton,78,Assembly Hall
Leora R. Levy,Republican Party,U.S. Senate,,Harwinton,96,Assembly Hall
Peter Lumaj,Republican Party,U.S. Senate,,Harwinton,24,Assembly Hall
Themis Klarides,Republican Party,U.S. Senate,,Harwinton,74,Assembly Hall
Maritza Bond,Democratic Party,Secretary of the State,,Harwinton,11,Assembly Room
Stephanie Thomas,Democratic Party,Secretary of the State,,Harwinton,43,Assembly Room
Dita Bhargava,Democratic Party,Treasurer,,Harwinton,16,Assembly Room
Erick Russell,Democratic Party,Treasurer,,Harwinton,35,Assembly Room
Karen Dubois-Walton,Democratic Party,Treasurer,,Harwinton,4,Assembly Room
Dominic Rapini,Republican Party,Secretary of the State,,Harwinton,65,Assembly Room
Terrie E. Wood,Republican Party,Secretary of the State,,Harwinton,64,Assembly Room
Leora R. Levy,Republican Party,U.S. Senate,,Harwinton,67,Assembly Room
Peter Lumaj,Republican Party,U.S. Senate,,Harwinton,18,Assembly Room
Themis Klarides,Republican Party,U.S. Senate,,Harwinton,47,Assembly Room
Maritza Bond,Democratic Party,Secretary of the State,,New Haven,72,Atwater Senior Center 01
Stephanie Thomas,Democratic Party,Secretary of the State,,New Haven,66,Atwater Senior Center 01
Dita Bhargava,Democratic Party,Treasurer,,New Haven,18,Atwater Senior Center 01
Erick Russell,Democratic Party,Treasurer,,New Haven,46,Atwater Senior Center 01
Karen Dubois-Walton,Democratic Party,Treasurer,,New Haven,72,Atwater Senior Center 01
Dominic Rapini,Republican Party,Secretary of the State,,New Haven,4,Atwater Senior Center 01
Terrie E. Wood,Republican Party,Secretary of the State,,New Haven,7,Atwater Senior Center 01
Leora R. Levy,Republican Party,U.S. Senate,,New Haven,4,Atwater Senior Center 01
Peter Lumaj,Republican Party,U.S. Senate,,New Haven,2,Atwater Senior Center 01
Themis Klarides,Republican Party,U.S. Senate,,New Haven,4,Atwater Senior Center 01
Maritza Bond,Democratic Party,Secretary of the State,,Avon,48,Avon High School - Gymnasium
Stephanie Thomas,Democratic Party,Secretary of the State,,Avon,315,Avon High School - Gymnasium
Dita Bhargava,Democratic Party,Treasurer,,Avon,107,Avon High School - Gymnasium
Erick Russell,Democratic Party,Treasurer,,Avon,184,Avon High School - Gymnasium
Karen Dubois-Walton,Democratic Party,Treasurer,,Avon,73,Avon High School - Gymnasium
Dominic Rapini,Republican Party,Secretary of the State,,Avon,181,Avon High School - Gymnasium
Terrie E. Wood,Republican Party,Secretary of the State,,Avon,127,Avon High School - Gymnasium
Leora R. Levy,Republican Party,U.S. Senate,,Avon,155,Avon High School - Gymnasium
Peter Lumaj,Republican Party,U.S. Senate,,Avon,36,Avon High School - Gymnasium
Themis Klarides,Republican Party,U.S. Senate,,Avon,131,Avon High School - Gymnasium
Maritza Bond,Democratic Party,Secretary of the State,,Colchester,28,Bacon Academy
Stephanie Thomas,Democratic Party,Secretary of the State,,Colchester,142,Bacon Academy
Dita Bhargava,Democratic Party,Treasurer,,Colchester,37,Bacon Academy
Erick Russell,Democratic Party,Treasurer,,Colchester,108,Bacon Academy
Karen Dubois-Walton,Democratic Party,Treasurer,,Colchester,26,Bacon Academy
Dominic Rapini,Republican Party,Secretary of the State,,Colchester,108,Bacon Academy
Terrie E. Wood,Republican Party,Secretary of the State,,Colchester,72,Bacon Academy
Leora R. Levy,Republican Party,U.S. Senate,,Colchester,88,Bacon Academy
Peter Lumaj,Republican Party,U.S. Senate,,Colchester,33,Bacon Academy
Themis Klarides,Republican Party,U.S. Senate,,Colchester,68,Bacon Academy
Maritza Bond,Democratic Party,Secretary of the State,,Litchfield,10,Bantam Borough Hall
Stephanie Thomas,Democratic Party,Secretary of the State,,Litchfield,51,Bantam Borough Hall
Dita Bhargava,Democratic Party,Treasurer,,Litchfield,19,Bantam Borough Hall
Erick Russell,Democratic Party,Treasurer,,Litchfield,29,Bantam Borough Hall
Karen Dubois-Walton,Democratic Party,Treasurer,,Litchfield,12,Bantam Borough Hall
Dominic Rapini,Republican Party,Secretary of the State,,Litchfield,40,Bantam Borough Hall
Terrie E. Wood,Republican Party,Secretary of the State,,Litchfield,32,Bantam Borough Hall
Leora R. Levy,Republican Party,U.S. Senate,,Litchfield,38,Bantam Borough Hall
Peter Lumaj,Republican Party,U.S. Senate,,Litchfield,13,Bantam Borough Hall
Themis Klarides,Republican Party,U.S. Senate,,Litchfield,32,Bantam Borough Hall
Maritza Bond,Democratic Party,Secretary of the State,,Barkhamsted,17,Barkhamsted Elementary School
Stephanie Thomas,Democratic Party,Secretary of the State,,Barkhamsted,99,Barkhamsted Elementary School
Dita Bhargava,Democratic Party,Treasurer,,Barkhamsted,24,Barkhamsted Elementary School
Erick Russell,Democratic Party,Treasurer,,Barkhamsted,75,Barkhamsted Elementary School
Karen Dubois-Walton,Democratic Party,Treasurer,,Barkhamsted,18,Barkhamsted Elementary School
Dominic Rapini,Republican Party,Secretary of the State,,Barkhamsted,114,Barkhamsted Elementary School
Terrie E. Wood,Republican Party,Secretary of the State,,Barkhamsted,91,Barkhamsted Elementary School
Leora R. Levy,Republican Party,U.S. Senate,,Barkhamsted,112,Barkhamsted Elementary School
Peter Lumaj,Republican Party,U.S. Senate,,Barkhamsted,35,Barkhamsted Elementary School
Themis Klarides,Republican Party,U.S. Senate,,Barkhamsted,76,Barkhamsted Elementary School
Maritza Bond,Democratic Party,Secretary of the State,,New Haven,35,Barnard School
Stephanie Thomas,Democratic Party,Secretary of the State,,New Haven,70,Barnard School
Dita Bhargava,Democratic Party,Treasurer,,New Haven,12,Barnard School
Erick Russell,Democratic Party,Treasurer,,New Haven,42,Barnard School
Karen Dubois-Walton,Democratic Party,Treasurer,,New Haven,51,Barnard School
Dominic Rapini,Republican Party,Secretary of the State,,New Haven,2,Barnard School
Terrie E. Wood,Republican Party,Secretary of the State,,New Haven,1,Barnard School
Leora R. Levy,Republican Party,U.S. Senate,,New Haven,2,Barnard School
Peter Lumaj,Republican Party,U.S. Senate,,New Haven,0,Barnard School
Themis Klarides,Republican Party,U.S. Senate,,New Haven,1,Barnard School
Maritza Bond,Democratic Party,Secretary of the State,,Bridgeport,96,Barnum School
Stephanie Thomas,Democratic Party,Secretary of the State,,Bridgeport,172,Barnum School
Dennis Bradley,Democratic Party,State Senate,23,Bridgeport,143,Barnum School
Herron Gaston,Democratic Party,State Senate,23,Bridgeport,170,Barnum School
Dita Bhargava,Democratic Party,Treasurer,,Bridgeport,50,Barnum School
Erick Russell,Democratic Party,Treasurer,,Bridgeport,189,Barnum School
Karen Dubois-Walton,Democratic Party,Treasurer,,Bridgeport,15,Barnum School
Dominic Rapini,Republican Party,Secretary of the State,,Bridgeport,2,Barnum School
Terrie E. Wood,Republican Party,Secretary of the State,,Bridgeport,2,Barnum School
Jayme Stevenson,Republican Party,U.S. House,4,Bridgeport,3,Barnum School
Michael Ted Goldstein,Republican Party,U.S. House,4,Bridgeport,1,Barnum School
Leora R. Levy,Republican Party,U.S. Senate,,Bridgeport,1,Barnum School
Peter Lumaj,Republican Party,U.S. Senate,,Bridgeport,1,Barnum School
Themis Klarides,Republican Party,U.S. Senate,,Bridgeport,2,Barnum School
Maritza Bond,Democratic Party,Secretary of the State,,Bridgeport,9,Bassick High School
Maritza Bond,Democratic Party,Secretary of the State,,Bridgeport,40,Bassick High School
Stephanie Thomas,Democratic Party,Secretary of the State,,Bridgeport,18,Bassick High School
Stephanie Thomas,Democratic Party,Secretary of the State,,Bridgeport,70,Bassick High School
Dennis Bradley,Democratic Party,State Senate,23,Bridgeport,85,Bassick High School
Herron Gaston,Democratic Party,State Senate,23,Bridgeport,48,Bassick High School
Dita Bhargava,Democratic Party,Treasurer,,Bridgeport,5,Bassick High School
Dita Bhargava,Democratic Party,Treasurer,,Bridgeport,29,Bassick High School
Erick Russell,Democratic Party,Treasurer,,Bridgeport,14,Bassick High School
Erick Russell,Democratic Party,Treasurer,,Bridgeport,59,Bassick High School
Karen Dubois-Walton,Democratic Party,Treasurer,,Bridgeport,20,Bassick High School
Karen Dubois-Walton,Democratic Party,Treasurer,,Bridgeport,6,Bassick High School
Dominic Rapini,Republican Party,Secretary of the State,,Bridgeport,1,Bassick High School
Dominic Rapini,Republican Party,Secretary of the State,,Bridgeport,10,Bassick High School
Terrie E. Wood,Republican Party,Secretary of the State,,Bridgeport,0,Bassick High School
Terrie E. Wood,Republican Party,Secretary of the State,,Bridgeport,1,Bassick High School
Jayme Stevenson,Republican Party,U.S. House,4,Bridgeport,0,Bassick High School
Jayme Stevenson,Republican Party,U.S. House,4,Bridgeport,5,Bassick High School
Michael Ted Goldstein,Republican Party,U.S. House,4,Bridgeport,0,Bassick High School
Michael Ted Goldstein,Republican Party,U.S. House,4,Bridgeport,4,Bassick High School
Leora R. Levy,Republican Party,U.S. Senate,,Bridgeport,2,Bassick High School
Leora R. Levy,Republican Party,U.S. Senate,,Bridgeport,1,Bassick High School
Peter Lumaj,Republican Party,U.S. Senate,,Bridgeport,0,Bassick High School
Peter Lumaj,Republican Party,U.S. Senate,,Bridgeport,0,Bassick High School
Themis Klarides,Republican Party,U.S. Senate,,Bridgeport,8,Bassick High School
Themis Klarides,Republican Party,U.S. Senate,,Bridgeport,1,Bassick High School
Maritza Bond,Democratic Party,Secretary of the State,,Hartford,87,Batchelder School - Gym
Stephanie Thomas,Democratic Party,Secretary of the State,,Hartford,97,Batchelder School - Gym
Dita Bhargava,Democratic Party,Treasurer,,Hartford,25,Batchelder School - Gym
Erick Russell,Democratic Party,Treasurer,,Hartford,114,Batchelder School - Gym
Karen Dubois-Walton,Democratic Party,Treasurer,,Hartford,30,Batchelder School - Gym
Dominic Rapini,Republican Party,Secretary of the State,,Hartford,7,Batchelder School - Gym
Terrie E. Wood,Republican Party,Secretary of the State,,Hartford,6,Batchelder School - Gym
Leora R. Levy,Republican Party,U.S. Senate,,Hartford,7,Batchelder School - Gym
Peter Lumaj,Republican Party,U.S. Senate,,Hartford,0,Batchelder School - Gym
Themis Klarides,Republican Party,U.S. Senate,,Hartford,8,Batchelder School - Gym
Maritza Bond,Democratic Party,Secretary of the State,,Killingly,0,Bd Of Ed Central Office - Cafeteria
Maritza Bond,Democratic Party,Secretary of the State,,Killingly,9,Bd Of Ed Central Office - Cafeteria
