candidate,party,office,district,town,votes,precinct
Jennienne Burke,Democratic Party,Board of Education Full Term - Stamford,,Stamford,1502,Stamford High School -Rear
Antoine Savage,Democratic Party,Board of Education Full Term - Stamford,,Stamford,1487,Stamford High School -Rear
Nicola Tarzia,Republican Party,Board of Education Full Term - Stamford,,Stamford,1009,Stamford High School -Rear
Eumir Antonio Abela,Green Party,Board of Education Full Term - Stamford,,Stamford,297,Stamford High School -Rear
Jennienne Burke,Democratic Party,Board of Education Full Term - Stamford,,Stamford,212,Stillmeadow School
Jennienne Burke,Democratic Party,Board of Education Full Term - Stamford,,Stamford,808,Stillmeadow School
Antoine Savage,Democratic Party,Board of Education Full Term - Stamford,,Stamford,218,Stillmeadow School
Antoine Savage,Democratic Party,Board of Education Full Term - Stamford,,Stamford,807,Stillmeadow School
Nicola Tarzia,Republican Party,Board of Education Full Term - Stamford,,Stamford,128,Stillmeadow School
Nicola Tarzia,Republican Party,Board of Education Full Term - Stamford,,Stamford,629,Stillmeadow School
Eumir Antonio Abela,Green Party,Board of Education Full Term - Stamford,,Stamford,42,Stillmeadow School
Eumir Antonio Abela,Green Party,Board of Education Full Term - Stamford,,Stamford,182,Stillmeadow School
Jennienne Burke,Democratic Party,Board of Education Full Term - Stamford,,Stamford,1033,Turn Of River School
Jennienne Burke,Democratic Party,Board of Education Full Term - Stamford,,Stamford,1164,Turn Of River School
Antoine Savage,Democratic Party,Board of Education Full Term - Stamford,,Stamford,1038,Turn Of River School
Antoine Savage,Democratic Party,Board of Education Full Term - Stamford,,Stamford,1174,Turn Of River School
Nicola Tarzia,Republican Party,Board of Education Full Term - Stamford,,Stamford,1074,Turn Of River School
Nicola Tarzia,Republican Party,Board of Education Full Term - Stamford,,Stamford,1121,Turn Of River School
Eumir Antonio Abela,Green Party,Board of Education Full Term - Stamford,,Stamford,187,Turn Of River School
Eumir Antonio Abela,Green Party,Board of Education Full Term - Stamford,,Stamford,260,Turn Of River School
Jennienne Burke,Democratic Party,Board of Education Full Term - Stamford,,Stamford,2737,Westover School
Antoine Savage,Democratic Party,Board of Education Full Term - Stamford,,Stamford,2587,Westover School
Nicola Tarzia,Republican Party,Board of Education Full Term - Stamford,,Stamford,709,Westover School
Eumir Antonio Abela,Green Party,Board of Education Full Term - Stamford,,Stamford,268,Westover School
Geoff Alswanger,Democratic Party,Board of Education To Fill Vacancy for One Year - Stamford,,Stamford,2237,Agudath Sholom
Geoff Alswanger,Democratic Party,Board of Education To Fill Vacancy for One Year - Stamford,,Stamford,808,Cloonan Middle School -Side
Geoff Alswanger,Democratic Party,Board of Education To Fill Vacancy for One Year - Stamford,,Stamford,1619,Davenport Ridge School
Geoff Alswanger,Democratic Party,Board of Education To Fill Vacancy for One Year - Stamford,,Stamford,2045,Dolan Middle School
Geoff Alswanger,Democratic Party,Board of Education To Fill Vacancy for One Year - Stamford,,Stamford,1273,Domus - The Old Rogers School
Geoff Alswanger,Democratic Party,Board of Education To Fill Vacancy for One Year - Stamford,,Stamford,1118,Julia A Stark School
Geoff Alswanger,Democratic Party,Board of Education To Fill Vacancy for One Year - Stamford,,Stamford,989,Long Ridge Church
Geoff Alswanger,Democratic Party,Board of Education To Fill Vacancy for One Year - Stamford,,Stamford,1461,Murphy School
Geoff Alswanger,Democratic Party,Board of Education To Fill Vacancy for One Year - Stamford,,Stamford,724,Northeast School
Geoff Alswanger,Democratic Party,Board of Education To Fill Vacancy for One Year - Stamford,,Stamford,2526,Our Lady Star Of The Sea
Geoff Alswanger,Democratic Party,Board of Education To Fill Vacancy for One Year - Stamford,,Stamford,1614,Rippowam Middle School
Geoff Alswanger,Democratic Party,Board of Education To Fill Vacancy for One Year - Stamford,,Stamford,1931,Roxbury School
Geoff Alswanger,Democratic Party,Board of Education To Fill Vacancy for One Year - Stamford,,Stamford,1470,Saint Bridget Church Hall
Geoff Alswanger,Democratic Party,Board of Education To Fill Vacancy for One Year - Stamford,,Stamford,1234,Salvation Army Community Center
Geoff Alswanger,Democratic Party,Board of Education To Fill Vacancy for One Year - Stamford,,Stamford,2375,Scofield Middle School
Geoff Alswanger,Democratic Party,Board of Education To Fill Vacancy for One Year - Stamford,,Stamford,1929,Springdale School -Rear
Geoff Alswanger,Democratic Party,Board of Education To Fill Vacancy for One Year - Stamford,,Stamford,1617,Stamford High School -Rear
Geoff Alswanger,Democratic Party,Board of Education To Fill Vacancy for One Year - Stamford,,Stamford,226,Stillmeadow School
Geoff Alswanger,Democratic Party,Board of Education To Fill Vacancy for One Year - Stamford,,Stamford,906,Stillmeadow School
Geoff Alswanger,Democratic Party,Board of Education To Fill Vacancy for One Year - Stamford,,Stamford,1225,Turn Of River School
Geoff Alswanger,Democratic Party,Board of Education To Fill Vacancy for One Year - Stamford,,Stamford,1344,Turn Of River School
Geoff Alswanger,Democratic Party,Board of Education To Fill Vacancy for One Year - Stamford,,Stamford,2684,Westover School
Owen Eagan,Democratic Party,Judge of Probate to Fill Vacancy 02,,West Hartford,3185,Braeburn School
Owen Eagan,Democratic Party,Judge of Probate to Fill Vacancy 02,,West Hartford,3146,Bristow Middle School
Owen Eagan,Democratic Party,Judge of Probate to Fill Vacancy 02,,West Hartford,2543,Conard High School
Owen Eagan,Democratic Party,Judge of Probate to Fill Vacancy 02,,West Hartford,3041,Elmwood Community Center
Owen Eagan,Democratic Party,Judge of Probate to Fill Vacancy 02,,West Hartford,2189,Hall High School
Owen Eagan,Democratic Party,Judge of Probate to Fill Vacancy 02,,West Hartford,2515,King Philip Middle School
Owen Eagan,Democratic Party,Judge of Probate to Fill Vacancy 02,,West Hartford,2481,Sedgwick Middle School
Owen Eagan,Democratic Party,Judge of Probate to Fill Vacancy 02,,West Hartford,3529,West Hartford Town Hall
Owen Eagan,Democratic Party,Judge of Probate to Fill Vacancy 02,,West Hartford,2418,Wolcott School
Sharon Wicks Dornfeld,Democratic Party,Judge of Probate to Fill Vacancy 45,,Bethel,605,Bethel Municipal Center 1
Daniel O'Grady,Republican Party,Judge of Probate to Fill Vacancy 45,,Bethel,610,Bethel Municipal Center 1
Sharon Wicks Dornfeld,Democratic Party,Judge of Probate to Fill Vacancy 45,,Bethel,1074,Bethel Municipal Center 4
Daniel O'Grady,Republican Party,Judge of Probate to Fill Vacancy 45,,Bethel,1309,Bethel Municipal Center 4
Sharon Wicks Dornfeld,Democratic Party,Judge of Probate to Fill Vacancy 45,,Bethel,1205,Frank A. Berry School - 3
Daniel O'Grady,Republican Party,Judge of Probate to Fill Vacancy 45,,Bethel,2053,Frank A. Berry School - 3
Sharon Wicks Dornfeld,Democratic Party,Judge of Probate to Fill Vacancy 45,,Bethel,140,Frank A. Berry School - 5
Daniel O'Grady,Republican Party,Judge of Probate to Fill Vacancy 45,,Bethel,289,Frank A. Berry School - 5
Sharon Wicks Dornfeld,Democratic Party,Judge of Probate to Fill Vacancy 45,,Bethel,742,Stony Hill Fire House -2
Daniel O'Grady,Republican Party,Judge of Probate to Fill Vacancy 45,,Bethel,1375,Stony Hill Fire House -2
Sharon Wicks Dornfeld,Democratic Party,Judge of Probate to Fill Vacancy 45,,Newtown,163,Head O Meadow School Cafetorium
Sharon Wicks Dornfeld,Democratic Party,Judge of Probate to Fill Vacancy 45,,Newtown,1100,Head O Meadow School Cafetorium
Daniel O'Grady,Republican Party,Judge of Probate to Fill Vacancy 45,,Newtown,217,Head O Meadow School Cafetorium
Daniel O'Grady,Republican Party,Judge of Probate to Fill Vacancy 45,,Newtown,1432,Head O Meadow School Cafetorium
Sharon Wicks Dornfeld,Democratic Party,Judge of Probate to Fill Vacancy 45,,Newtown,91,Middle School Gym A
Sharon Wicks Dornfeld,Democratic Party,Judge of Probate to Fill Vacancy 45,,Newtown,1953,Middle School Gym A
Daniel O'Grady,Republican Party,Judge of Probate to Fill Vacancy 45,,Newtown,113,Middle School Gym A
Daniel O'Grady,Republican Party,Judge of Probate to Fill Vacancy 45,,Newtown,2597,Middle School Gym A
Sharon Wicks Dornfeld,Democratic Party,Judge of Probate to Fill Vacancy 45,,Newtown,711,Reed Intermediate School
Sharon Wicks Dornfeld,Democratic Party,Judge of Probate to Fill Vacancy 45,,Newtown,2156,Reed Intermediate School
Daniel O'Grady,Republican Party,Judge of Probate to Fill Vacancy 45,,Newtown,1014,Reed Intermediate School
Daniel O'Grady,Republican Party,Judge of Probate to Fill Vacancy 45,,Newtown,2813,Reed Intermediate School
Sharon Wicks Dornfeld,Democratic Party,Judge of Probate to Fill Vacancy 45,,Redding,1745,Redding Community Center
Daniel O'Grady,Republican Party,Judge of Probate to Fill Vacancy 45,,Redding,1760,Redding Community Center
Sharon Wicks Dornfeld,Democratic Party,Judge of Probate to Fill Vacancy 45,,Redding,829,Redding Community Center 2
Daniel O'Grady,Republican Party,Judge of Probate to Fill Vacancy 45,,Redding,960,Redding Community Center 2
Sharon Wicks Dornfeld,Democratic Party,Judge of Probate to Fill Vacancy 45,,Ridgefield,2571,East Ridge Middle School - 1
Daniel O'Grady,Republican Party,Judge of Probate to Fill Vacancy 45,,Ridgefield,2366,East Ridge Middle School - 1
Sharon Wicks Dornfeld,Democratic Party,Judge of Probate to Fill Vacancy 45,,Ridgefield,2364,Scotts Ridge Middle School - 2
Daniel O'Grady,Republican Party,Judge of Probate to Fill Vacancy 45,,Ridgefield,2119,Scotts Ridge Middle School - 2
Sharon Wicks Dornfeld,Democratic Party,Judge of Probate to Fill Vacancy 45,,Ridgefield,271,Scotts Ridge Middle School - 4
Daniel O'Grady,Republican Party,Judge of Probate to Fill Vacancy 45,,Ridgefield,334,Scotts Ridge Middle School - 4
Sharon Wicks Dornfeld,Democratic Party,Judge of Probate to Fill Vacancy 45,,Ridgefield,1996,Yanity Gym - 3
Daniel O'Grady,Republican Party,Judge of Probate to Fill Vacancy 45,,Ridgefield,1812,Yanity Gym - 3
Sarah M. Baldwin,Non Partisan,Non Partisan Representative Town Meeting District I - Darien-1,,Darien,935,District 1 - 35 Leroy Avenue Municipal Building
Amy Barsanti,Non Partisan,Non Partisan Representative Town Meeting District I - Darien-1,,Darien,1008,District 1 - 35 Leroy Avenue Municipal Building
Taylor W. Carter,Non Partisan,Non Partisan Representative Town Meeting District I - Darien-1,,Darien,884,District 1 - 35 Leroy Avenue Municipal Building
Diane G. Conologue,Non Partisan,Non Partisan Representative Town Meeting District I - Darien-1,,Darien,881,District 1 - 35 Leroy Avenue Municipal Building
Christopher Ezbiansky,Non Partisan,Non Partisan Representative Town Meeting District I - Darien-1,,Darien,875,District 1 - 35 Leroy Avenue Municipal Building
Young-Sup Lee,Non Partisan,Non Partisan Representative Town Meeting District I - Darien-1,,Darien,827,District 1 - 35 Leroy Avenue Municipal Building
Anstiss Agnew,Non Partisan,Non Partisan Representative Town Meeting District II - Darien-2,,Darien,640,District 2 - Darien Town Hall
Elisabeth C. Bacon,Non Partisan,Non Partisan Representative Town Meeting District II - Darien-2,,Darien,720,District 2 - Darien Town Hall
Charles J. Boulier IV,Non Partisan,Non Partisan Representative Town Meeting District II - Darien-2,,Darien,630,District 2 - Darien Town Hall
James Henry Howe,Non Partisan,Non Partisan Representative Town Meeting District II - Darien-2,,Darien,726,District 2 - Darien Town Hall
Cheryl Russell,Non Partisan,Non Partisan Representative Town Meeting District II - Darien-2,,Darien,650,District 2 - Darien Town Hall
Clara C. Sartori,Non Partisan,Non Partisan Representative Town Meeting District II - Darien-2,,Darien,706,District 2 - Darien Town Hall
Joann R. Sawitsky,Non Partisan,Non Partisan Representative Town Meeting District II - Darien-2,,Darien,666,District 2 - Darien Town Hall
Barbara L. Thorne,Non Partisan,Non Partisan Representative Town Meeting District II - Darien-2,,Darien,751,District 2 - Darien Town Hall
Michael C. Wheeler,Non Partisan,Non Partisan Representative Town Meeting District II - Darien-2,,Darien,694,District 2 - Darien Town Hall
Robert Cardone,Non Partisan,Non Partisan Representative Town Meeting District III - Darien-3,,Darien,967,District 3 - Noroton Heights Fire Department
Jack H. Davis,Non Partisan,Non Partisan Representative Town Meeting District III - Darien-3,,Darien,879,District 3 - Noroton Heights Fire Department
Dennis J. Maroney,Non Partisan,Non Partisan Representative Town Meeting District III - Darien-3,,Darien,944,District 3 - Noroton Heights Fire Department
Joan V. Davis,Non Partisan,Non Partisan Representative Town Meeting District IV - Darien-4,,Darien,898,District 4 - Hindley School Gymnasium Entrance
Werner K. Domittner,Non Partisan,Non Partisan Representative Town Meeting District IV - Darien-4,,Darien,837,District 4 - Hindley School Gymnasium Entrance
Joseph H. Hardison III,Non Partisan,Non Partisan Representative Town Meeting District IV - Darien-4,,Darien,876,District 4 - Hindley School Gymnasium Entrance
Phyllis H. Hawkins,Non Partisan,Non Partisan Representative Town Meeting District IV - Darien-4,,Darien,887,District 4 - Hindley School Gymnasium Entrance
Brian J. Rayhill,Non Partisan,Non Partisan Representative Town Meeting District IV - Darien-4,,Darien,951,District 4 - Hindley School Gymnasium Entrance
Mark R. Adiletta,Non Partisan,Non Partisan Representative Town Meeting District V - Darien-5,,Darien,773,District 5 - Darien Town Hall
David F. Bayne,Non Partisan,Non Partisan Representative Town Meeting District V - Darien-5,,Darien,767,District 5 - Darien Town Hall
John V. Boulton,Non Partisan,Non Partisan Representative Town Meeting District V - Darien-5,,Darien,760,District 5 - Darien Town Hall
Terrence J. Duffy Jr.,Non Partisan,Non Partisan Representative Town Meeting District V - Darien-5,,Darien,780,District 5 - Darien Town Hall
Joanne K. Hennessy,Non Partisan,Non Partisan Representative Town Meeting District V - Darien-5,,Darien,741,District 5 - Darien Town Hall
Laura R. Mosher,Non Partisan,Non Partisan Representative Town Meeting District V - Darien-5,,Darien,754,District 5 - Darien Town Hall
Pamela H. Sparkman,Non Partisan,Non Partisan Representative Town Meeting District V - Darien-5,,Darien,727,District 5 - Darien Town Hall
Frank H. Adelman,Non Partisan,Non Partisan Representative Town Meeting District VI - Darien-6,,Darien,910,District 6 - 35 Leroy Avenue Municipal Building
Carlo Cantavero,Non Partisan,Non Partisan Representative Town Meeting District VI - Darien-6,,Darien,848,District 6 - 35 Leroy Avenue Municipal Building
Janet F. Grogan,Non Partisan,Non Partisan Representative Town Meeting District VI - Darien-6,,Darien,923,District 6 - 35 Leroy Avenue Municipal Building
Edgar M. Hawkins III,Non Partisan,Non Partisan Representative Town Meeting District VI - Darien-6,,Darien,856,District 6 - 35 Leroy Avenue Municipal Building
Nanci Natale,Non Partisan,Non Partisan Representative Town Meeting District VI - Darien-6,,Darien,901,District 6 - 35 Leroy Avenue Municipal Building
S. Lloyd Plehaty,Non Partisan,Non Partisan Representative Town Meeting District VI - Darien-6,,Darien,813,District 6 - 35 Leroy Avenue Municipal Building
Richard Poli,Non Partisan,Non Partisan Representative Town Meeting District VI - Darien-6,,Darien,896,District 6 - 35 Leroy Avenue Municipal Building
Jake T. Fisher,Non Partisan,NonPartisan Board of Education - Berlin,,Berlin,1031,American Legion
Jaymee R. Miller,Non Partisan,NonPartisan Board of Education - Berlin,,Berlin,1081,American Legion
Matthew T. Tencza,Non Partisan,NonPartisan Board of Education - Berlin,,Berlin,1049,American Legion
Jake T. Fisher,Non Partisan,NonPartisan Board of Education - Berlin,,Berlin,1272,Griswold School
Jaymee R. Miller,Non Partisan,NonPartisan Board of Education - Berlin,,Berlin,1338,Griswold School
Matthew T. Tencza,Non Partisan,NonPartisan Board of Education - Berlin,,Berlin,1297,Griswold School
Jake T. Fisher,Non Partisan,NonPartisan Board of Education - Berlin,,Berlin,957,Hubbard School
Jaymee R. Miller,Non Partisan,NonPartisan Board of Education - Berlin,,Berlin,962,Hubbard School
Matthew T. Tencza,Non Partisan,NonPartisan Board of Education - Berlin,,Berlin,937,Hubbard School
Jake T. Fisher,Non Partisan,NonPartisan Board of Education - Berlin,,Berlin,745,Senior Center
Jaymee R. Miller,Non Partisan,NonPartisan Board of Education - Berlin,,Berlin,791,Senior Center
Matthew T. Tencza,Non Partisan,NonPartisan Board of Education - Berlin,,Berlin,815,Senior Center
Jake T. Fisher,Non Partisan,NonPartisan Board of Education - Berlin,,Berlin,522,Willard School
Jaymee R. Miller,Non Partisan,NonPartisan Board of Education - Berlin,,Berlin,541,Willard School
Matthew T. Tencza,Non Partisan,NonPartisan Board of Education - Berlin,,Berlin,552,Willard School
Clinton and Kaine,Democratic Party,President,,Andover,896,Andover Town Hall
Trump and Pence,Republican Party,President,,Andover,891,Andover Town Hall
Johnson and Weld,Libertarian Party,President,,Andover,79,Andover Town Hall
Stein and Baraka,Green Party,President,,Andover,42,Andover Town Hall
Basiago and Kinnison,Write-In,President,,Andover,0,Andover Town Hall
Blumenthal and Blair,Write-In,President,,Andover,0,Andover Town Hall
Buchanan and Washington,Write-In,President,,Andover,0,Andover Town Hall
Castle and Bradley,Write-In,President,,Andover,0,Andover Town Hall
Cooper and Meyer,Write-In,President,,Andover,0,Andover Town Hall
Cummings and Romanoff,Write-In,President,,Andover,0,Andover Town Hall
Deame and Long,Write-In,President,,Andover,0,Andover Town Hall
De La Fuente and Steinberg,Write-In,President,,Andover,0,Andover Town Hall
Evans and Fitch,Write-In,President,,Andover,0,Andover Town Hall
Fox and Kushner,Write-In,President,,Andover,0,Andover Town Hall
Hoefling and Schulin,Write-In,President,,Andover,0,Andover Town Hall
Klojzy Jr. and LeMay,Write-In,President,,Andover,0,Andover Town Hall
Kotlikoff and Leamer,Write-In,President,,Andover,0,Andover Town Hall
La Riva and Puryear,Write-In,President,,Andover,0,Andover Town Hall
Maldonado and Terranova,Write-In,President,,Andover,0,Andover Town Hall
McMullin and Johnson,Write-In,President,,Andover,0,Andover Town Hall
Schoenke and Mitchell Jr.,Write-In,President,,Andover,0,Andover Town Hall
Skewes and Lacy,Write-In,President,,Andover,0,Andover Town Hall
Smith and White,Write-In,President,,Andover,0,Andover Town Hall
Wu and Wu,Write-In,President,,Andover,0,Andover Town Hall
Clinton and Kaine,Democratic Party,President,,Ansonia,581,Ward 1 Ansonia Armory
Trump and Pence,Republican Party,President,,Ansonia,423,Ward 1 Ansonia Armory
Johnson and Weld,Libertarian Party,President,,Ansonia,34,Ward 1 Ansonia Armory
Stein and Baraka,Green Party,President,,Ansonia,17,Ward 1 Ansonia Armory
Basiago and Kinnison,Write-In,President,,Ansonia,0,Ward 1 Ansonia Armory
Blumenthal and Blair,Write-In,President,,Ansonia,0,Ward 1 Ansonia Armory
Buchanan and Washington,Write-In,President,,Ansonia,0,Ward 1 Ansonia Armory
Castle and Bradley,Write-In,President,,Ansonia,0,Ward 1 Ansonia Armory
Cooper and Meyer,Write-In,President,,Ansonia,0,Ward 1 Ansonia Armory
Cummings and Romanoff,Write-In,President,,Ansonia,0,Ward 1 Ansonia Armory
Deame and Long,Write-In,President,,Ansonia,0,Ward 1 Ansonia Armory
De La Fuente and Steinberg,Write-In,President,,Ansonia,0,Ward 1 Ansonia Armory
Evans and Fitch,Write-In,President,,Ansonia,0,Ward 1 Ansonia Armory
Fox and Kushner,Write-In,President,,Ansonia,0,Ward 1 Ansonia Armory
Hoefling and Schulin,Write-In,President,,Ansonia,0,Ward 1 Ansonia Armory
Klojzy Jr. and LeMay,Write-In,President,,Ansonia,0,Ward 1 Ansonia Armory
Kotlikoff and Leamer,Write-In,President,,Ansonia,0,Ward 1 Ansonia Armory
La Riva and Puryear,Write-In,President,,Ansonia,0,Ward 1 Ansonia Armory
Maldonado and Terranova,Write-In,President,,Ansonia,0,Ward 1 Ansonia Armory
McMullin and Johnson,Write-In,President,,Ansonia,1,Ward 1 Ansonia Armory
Schoenke and Mitchell Jr.,Write-In,President,,Ansonia,0,Ward 1 Ansonia Armory
