county,precinct,office,district,party,candidate,election_day,absentee,edr,votes
Fairfield,Norwalk 137B St Marys,State Senate,25,,write-in,0,0,0,0
Fairfield,Norwalk 137C Tracey,State Senate,25,,Bill Dunne,562,22,12,596
Fairfield,Norwalk 137C Tracey,State Senate,25,,Bob Duff,1477,51,19,1547
Fairfield,Norwalk 137C Tracey,State Senate,25,,write-in,1,0,0,1
Fairfield,Norwalk 140A Kendall,State Senate,25,,Bill Dunne,323,13,4,340
Fairfield,Norwalk 140A Kendall,State Senate,25,,Bob Duff,979,20,10,1009
Fairfield,Norwalk 140A Kendall,State Senate,25,,write-in,2,0,0,2
Fairfield,Norwalk 140B Columbus,State Senate,25,,Bill Dunne,194,10,4,208
Fairfield,Norwalk 140B Columbus,State Senate,25,,Bob Duff,1251,52,20,1323
Fairfield,Norwalk 140B Columbus,State Senate,25,,write-in,1,0,0,1
Fairfield,Norwalk 140C Nathaniel Ely,State Senate,25,,Bill Dunne,126,7,1,134
Fairfield,Norwalk 140C Nathaniel Ely,State Senate,25,,Bob Duff,524,20,7,551
Fairfield,Norwalk 140C Nathaniel Ely,State Senate,25,,write-in,2,0,0,2
Fairfield,Norwalk 142A Fox Run,State Senate,25,,Bill Dunne,938,57,10,1005
Fairfield,Norwalk 142A Fox Run,State Senate,25,,Bob Duff,1359,63,21,1443
Fairfield,Norwalk 142A Fox Run,State Senate,25,,write-in,1,0,0,1
Fairfield,Norwalk 142B Ponus,State Senate,25,,Bill Dunne,817,33,7,857
Fairfield,Norwalk 142B Ponus,State Senate,25,,Bob Duff,1348,59,14,1421
Fairfield,Norwalk 142B Ponus,State Senate,25,,write-in,2,0,0,2
Fairfield,Norwalk 142C West Rocks,State Senate,25,,Bill Dunne,654,31,8,693
Fairfield,Norwalk 142C West Rocks,State Senate,25,,Bob Duff,1138,55,14,1207
Fairfield,Norwalk 142C West Rocks,State Senate,25,,write-in,0,0,0,0
Fairfield,Norwalk 141A Roton,State Senate,25,,Bill Dunne,727,50,10,787
Fairfield,Norwalk 141A Roton,State Senate,25,,Bob Duff,1191,79,14,1284
Fairfield,Norwalk 141A Roton,State Senate,25,,write-in,0,0,0,0
Fairfield,Norwalk 143A Nathan Hale,State Senate,25,,Bill Dunne,523,23,9,555
Fairfield,Norwalk 143A Nathan Hale,State Senate,25,,Bob Duff,996,28,12,1036
Fairfield,Norwalk 143A Nathan Hale,State Senate,25,,write-in,0,0,0,0
Fairfield,Norwalk 143B Wolfpit,State Senate,25,,Bill Dunne,798,35,2,835
Fairfield,Norwalk 143B Wolfpit,State Senate,25,,Bob Duff,1130,39,5,1174
Fairfield,Norwalk 143B Wolfpit,State Senate,25,,write-in,0,0,0,0
Fairfield,Norwalk 137A Marvin,State House,137,Rep,Arthur Scialabba,888,51,16,955
Fairfield,Norwalk 137A Marvin,State House,137,Dem,Chris Perone,1611,81,30,1722
Fairfield,Norwalk 137A Marvin,State House,137,WF,Chris Perone,109,3,2,114
Fairfield,Norwalk 137B St Marys,State House,137,Rep,Arthur Scialabba,203,2,6,211
Fairfield,Norwalk 137B St Marys,State House,137,Dem,Chris Perone,634,24,17,675
Fairfield,Norwalk 137B St Marys,State House,137,WF,Chris Perone,40,3,1,44
Fairfield,Norwalk 137C Tracey,State House,137,Rep,Arthur Scialabba,656,26,12,694
Fairfield,Norwalk 137C Tracey,State House,137,Dem,Chris Perone,1265,42,15,1322
Fairfield,Norwalk 137C Tracey,State House,137,WF,Chris Perone,94,3,4,101
Fairfield,Norwalk 140A Kendall,State House,140,Dem,Bruce Morris,928,16,9,953
Fairfield,Norwalk 140A Kendall,State House,140,WF,Bruce Morris,105,3,0,108
Fairfield,Norwalk 140B Columbus,State House,140,Dem,Bruce Morris,1228,49,19,1296
Fairfield,Norwalk 140B Columbus,State House,140,WF,Bruce Morris,73,11,1,85
Fairfield,Norwalk 140C Nathaniel Ely,State House,140,Dem,Bruce Morris,502,18,7,527
Fairfield,Norwalk 140C Nathaniel Ely,State House,140,WF,Bruce Morris,45,4,0,49
Fairfield,Norwalk 142A Fox Run,State House,142,Rep,Fred Wilms,1124,65,10,1199
Fairfield,Norwalk 142A Fox Run,State House,142,Ind,Fred Wilms,56,1,0,57
Fairfield,Norwalk 142A Fox Run,State House,142,Dem,Andy Garfunkel,1061,49,17,1127
Fairfield,Norwalk 142A Fox Run,State House,142,WF,Andy Garfunkel,58,2,2,62
Fairfield,Norwalk 142B Ponus,State House,142,Rep,Fred Wilms,1057,47,6,1110
Fairfield,Norwalk 142B Ponus,State House,142,Ind,Fred Wilms,65,2,0,67
Fairfield,Norwalk 142B Ponus,State House,142,Dem,Andy Garfunkel,999,40,13,1052
Fairfield,Norwalk 142B Ponus,State House,142,WF,Andy Garfunkel,45,2,2,49
Fairfield,Norwalk 142C West Rocks,State House,142,Rep,Fred Wilms,887,43,11,941
Fairfield,Norwalk 142C West Rocks,State House,142,Ind,Fred Wilms,48,1,0,49
Fairfield,Norwalk 142C West Rocks,State House,142,Dem,Andy Garfunkel,818,38,11,867
Fairfield,Norwalk 142C West Rocks,State House,142,WF,Andy Garfunkel,41,1,1,43
Fairfield,Norwalk 141A Roton,State House,141,Rep,Terrie Wood,1108,88,15,1211
Fairfield,Norwalk 141A Roton,State House,141,write-ins,write-in,4,2,0,6
Fairfield,Norwalk 143A Nathan Hale,State House,143,Rep,Gail Lavielle,827,30,12,869
Fairfield,Norwalk 143A Nathan Hale,State House,143,Dem,Keith Rodgerson,654,22,8,684
Fairfield,Norwalk 143A Nathan Hale,State House,143,write-ins,write-in,0,0,0,0
Fairfield,Norwalk 143B Wolfpit,State House,143,Rep,Gail Lavielle,1193,48,2,1243
Fairfield,Norwalk 143B Wolfpit,State House,143,Dem,Keith Rodgerson,703,27,5,735
Fairfield,Norwalk 143B Wolfpit,State House,143,write-ins,write-in,1,0,0,1
Fairfield,Norwalk 137A Marvin,Secretary of State,,Rep,Peter Lumaj,983,57,17,1057
Fairfield,Norwalk 137A Marvin,Secretary of State,,Ind,Peter Lumaj,44,1,1,46
Fairfield,Norwalk 137A Marvin,Secretary of State,,Dem,Denise Merrill,1404,74,29,1507
Fairfield,Norwalk 137A Marvin,Secretary of State,,WF,Denise Merrill,78,2,1,81
Fairfield,Norwalk 137A Marvin,Secretary of State,,Green,Michael DeRosa,59,0,2,61
Fairfield,Norwalk 137A Marvin,Secretary of State,,write-in,write-in,0,0,0,0
Fairfield,Norwalk 137B St Marys,Secretary of State,,Rep,Peter Lumaj,215,3,6,224
Fairfield,Norwalk 137B St Marys,Secretary of State,,Ind,Peter Lumaj,15,1,0,16
Fairfield,Norwalk 137B St Marys,Secretary of State,,Dem,Denise Merrill,589,21,17,614
Fairfield,Norwalk 137B St Marys,Secretary of State,,WF,Denise Merrill,618,22,17,657
Fairfield,Norwalk 137B St Marys,Secretary of State,,Green,Michael DeRosa,23,2,1,26
Fairfield,Norwalk 137B St Marys,Secretary of State,,write-in,write-in,0,0,0,0
Fairfield,Norwalk 137C Tracey,Secretary of State,,Rep,Peter Lumaj,688,27,13,726
Fairfield,Norwalk 137C Tracey,Secretary of State,,Ind,Peter Lumaj,39,2,0,41
Fairfield,Norwalk 137C Tracey,Secretary of State,,Dem,Denise Merrill,1129,39,14,1158
Fairfield,Norwalk 137C Tracey,Secretary of State,,WF,Denise Merrill,62,2,3,66
Fairfield,Norwalk 137C Tracey,Secretary of State,,Green,Michael DeRosa,52,2,1,55
Fairfield,Norwalk 137C Tracey,Secretary of State,,write-in,write-in,0,0,0,0
Fairfield,Norwalk 140A Kendall,Secretary of State,,Rep,Peter Lumaj,361,15,4,379
Fairfield,Norwalk 140A Kendall,Secretary of State,,Ind,Peter Lumaj,25,1,0,26
Fairfield,Norwalk 140A Kendall,Secretary of State,,Dem,Denise Merrill,823,15,8,828
Fairfield,Norwalk 140A Kendall,Secretary of State,,WF,Denise Merrill,42,1,0,42
Fairfield,Norwalk 140A Kendall,Secretary of State,,Green,Michael DeRosa,25,0,1,26
Fairfield,Norwalk 140A Kendall,Secretary of State,,write-in,write-in,2,0,0,2
Fairfield,Norwalk 140B Columbus,Secretary of State,,Rep,Peter Lumaj,204,7,4,214
Fairfield,Norwalk 140B Columbus,Secretary of State,,Ind,Peter Lumaj,19,1,1,21
Fairfield,Norwalk 140B Columbus,Secretary of State,,Dem,Denise Merrill,1124,46,18,1146
Fairfield,Norwalk 140B Columbus,Secretary of State,,WF,Denise Merrill,45,8,1,51
Fairfield,Norwalk 140B Columbus,Secretary of State,,Green,Michael DeRosa,26,1,0,27
Fairfield,Norwalk 140B Columbus,Secretary of State,,write-in,write-in,1,0,0,1
Fairfield,Norwalk 140C Nathaniel Ely,Secretary of State,,Rep,Peter Lumaj,139,9,1,149
Fairfield,Norwalk 140C Nathaniel Ely,Secretary of State,,Ind,Peter Lumaj,5,0,0,5
Fairfield,Norwalk 140C Nathaniel Ely,Secretary of State,,Dem,Denise Merrill,459,14,7,460
Fairfield,Norwalk 140C Nathaniel Ely,Secretary of State,,WF,Denise Merrill,24,1,0,24
Fairfield,Norwalk 140C Nathaniel Ely,Secretary of State,,Green,Michael DeRosa,15,2,0,17
Fairfield,Norwalk 140C Nathaniel Ely,Secretary of State,,write-in,write-in,2,0,0,2
Fairfield,Norwalk 142A Fox Run,Secretary of State,,Rep,Peter Lumaj,1016,62,9,1087
Fairfield,Norwalk 142A Fox Run,Secretary of State,,Ind,Peter Lumaj,40,2,1,43
Fairfield,Norwalk 142A Fox Run,Secretary of State,,Dem,Denise Merrill,1066,50,15,1126
Fairfield,Norwalk 142A Fox Run,Secretary of State,,WF,Denise Merrill,48,1,1,50
Fairfield,Norwalk 142A Fox Run,Secretary of State,,Green,Michael DeRosa,63,2,4,69
Fairfield,Norwalk 142A Fox Run,Secretary of State,,write-in,write-in,1,0,0,1
Fairfield,Norwalk 142B Ponus,Secretary of State,,Rep,Peter Lumaj,951,42,8,1001
Fairfield,Norwalk 142B Ponus,Secretary of State,,Ind,Peter Lumaj,41,0,0,41
Fairfield,Norwalk 142B Ponus,Secretary of State,,Dem,Denise Merrill,1031,45,11,1087
Fairfield,Norwalk 142B Ponus,Secretary of State,,WF,Denise Merrill,39,3,1,43
Fairfield,Norwalk 142B Ponus,Secretary of State,,Green,Michael DeRosa,45,0,2,47
Fairfield,Norwalk 142B Ponus,Secretary of State,,write-in,write-in,0,0,0,0
Fairfield,Norwalk 142C West Rocks,Secretary of State,,Rep,Peter Lumaj,757,38,8,803
Fairfield,Norwalk 142C West Rocks,Secretary of State,,Ind,Peter Lumaj,24,1,0,25
Fairfield,Norwalk 142C West Rocks,Secretary of State,,Dem,Denise Merrill,882,43,12,937
Fairfield,Norwalk 142C West Rocks,Secretary of State,,WF,Denise Merrill,30,1,2,33
Fairfield,Norwalk 142C West Rocks,Secretary of State,,Green,Michael DeRosa,33,0,1,34
Fairfield,Norwalk 142C West Rocks,Secretary of State,,write-in,write-in,0,0,0,0
Fairfield,Norwalk 141A Roton,Secretary of State,,Rep,Peter Lumaj,817,65,11,893
Fairfield,Norwalk 141A Roton,Secretary of State,,Ind,Peter Lumaj,24,2,0,26
Fairfield,Norwalk 141A Roton,Secretary of State,,Dem,Denise Merrill,936,62,11,1009
Fairfield,Norwalk 141A Roton,Secretary of State,,WF,Denise Merrill,22,0,1,23
Fairfield,Norwalk 141A Roton,Secretary of State,,Green,Michael DeRosa,30,0,1,31
Fairfield,Norwalk 141A Roton,Secretary of State,,write-in,write-in,0,0,0,
Fairfield,Norwalk 143A Nathan Hale,Secretary of State,,Rep,Peter Lumaj,604,24,9,637
Fairfield,Norwalk 143A Nathan Hale,Secretary of State,,Ind,Peter Lumaj,30,0,0,30
Fairfield,Norwalk 143A Nathan Hale,Secretary of State,,Dem,Denise Merrill,755,26,10,778
Fairfield,Norwalk 143A Nathan Hale,Secretary of State,,WF,Denise Merrill,35,0,1,35
Fairfield,Norwalk 143A Nathan Hale,Secretary of State,,Green,Michael DeRosa,36,1,0,37
Fairfield,Norwalk 143A Nathan Hale,Secretary of State,,write-in,write-in,0,0,0,0
Fairfield,Norwalk 143B Wolfpit,Secretary of State,,Rep,Peter Lumaj,915,39,2,956
Fairfield,Norwalk 143B Wolfpit,Secretary of State,,Ind,Peter Lumaj,31,1,0,32
Fairfield,Norwalk 143B Wolfpit,Secretary of State,,Dem,Denise Merrill,841,29,5,868
Fairfield,Norwalk 143B Wolfpit,Secretary of State,,WF,Denise Merrill,38,2,0,40
Fairfield,Norwalk 143B Wolfpit,Secretary of State,,Green,Michael DeRosa,33,2,0,35
Fairfield,Norwalk 143B Wolfpit,Secretary of State,,write-in,write-in,1,0,0,1
Fairfield,Norwalk 137A Marvin,Treasurer,,Rep,Tim Herbst,1026,60,17,1101
Fairfield,Norwalk 137A Marvin,Treasurer,,Ind,Tim Herbst,55,4,1,60
Fairfield,Norwalk 137A Marvin,Treasurer,,Dem,Denise Nappier,1390,69,29,1472
Fairfield,Norwalk 137A Marvin,Treasurer,,WF,Denise Nappier,88,1,1,89
Fairfield,Norwalk 137A Marvin,Treasurer,,write-in,write-in,2,0,0,2
Fairfield,Norwalk 137B St Marys,Treasurer,,Rep,Tim Herbst,227,5,7,239
Fairfield,Norwalk 137B St Marys,Treasurer,,Ind,Tim Herbst,18,1,1,20
Fairfield,Norwalk 137B St Marys,Treasurer,,Dem,Denise Nappier,589,18,15,609
Fairfield,Norwalk 137B St Marys,Treasurer,,WF,Denise Nappier,32,2,0,33
Fairfield,Norwalk 137B St Marys,Treasurer,,write-in,write-in,0,0,0,0
Fairfield,Norwalk 137C Tracey,Treasurer,,Rep,Tim Herbst,713,31,12,756
Fairfield,Norwalk 137C Tracey,Treasurer,,Ind,Tim Herbst,45,3,0,48
Fairfield,Norwalk 137C Tracey,Treasurer,,Dem,Denise Nappier,1139,34,15,1188
Fairfield,Norwalk 137C Tracey,Treasurer,,WF,Denise Nappier,78,2,3,83
Fairfield,Norwalk 137C Tracey,Treasurer,,write-in,write-in,0,0,1,1
Fairfield,Norwalk 140A Kendall,Treasurer,,Rep,Tim Herbst,375,13,4,392
Fairfield,Norwalk 140A Kendall,Treasurer,,Ind,Tim Herbst,25,1,0,26
Fairfield,Norwalk 140A Kendall,Treasurer,,Dem,Denise Nappier,823,17,9,832
Fairfield,Norwalk 140A Kendall,Treasurer,,WF,Denise Nappier,42,1,0,42
Fairfield,Norwalk 140A Kendall,Treasurer,,write-in,write-in,2,0,0,2
Fairfield,Norwalk 140B Columbus,Treasurer,,Rep,Tim Herbst,225,9,4,237
Fairfield,Norwalk 140B Columbus,Treasurer,,Ind,Tim Herbst,25,1,2,28
Fairfield,Norwalk 140B Columbus,Treasurer,,Dem,Denise Nappier,1130,46,17,1143
Fairfield,Norwalk 140B Columbus,Treasurer,,WF,Denise Nappier,46,8,1,52
Fairfield,Norwalk 140B Columbus,Treasurer,,write-in,write-in,1,0,0,1
Fairfield,Norwalk 140C Nathaniel Ely,Treasurer,,Rep,Tim Herbst,148,10,1,159
Fairfield,Norwalk 140C Nathaniel Ely,Treasurer,,Ind,Tim Herbst,6,0,0,6
Fairfield,Norwalk 140C Nathaniel Ely,Treasurer,,Dem,Denise Nappier,455,13,7,454
Fairfield,Norwalk 140C Nathaniel Ely,Treasurer,,WF,Denise Nappier,28,3,0,30
Fairfield,Norwalk 140C Nathaniel Ely,Treasurer,,write-in,write-in,0,0,0,0
Fairfield,Norwalk 142A Fox Run,Treasurer,,Rep,Tim Herbst,1065,60,9,1134
Fairfield,Norwalk 142A Fox Run,Treasurer,,Ind,Tim Herbst,49,2,2,53
Fairfield,Norwalk 142A Fox Run,Treasurer,,Dem,Denise Nappier,1066,52,16,1130
