County,Precinct,Office,District,Party,Candidate,EDR,Poll,Prov,Abs,
Fairfield,New Canaan City CT,State Senate,36,DEM,Ed Heflin,5,328,2,21,356
Fairfield,New Canaan City CT,State Senate,36,write-in,write-in,0,3,0,0,3
Fairfield,New Canaan City CT,State Assembly,142,REP,Fred Wilms,7,777,0,41,825
Fairfield,New Canaan City CT,State Assembly,142,DEM,Andy Garfunkel,3,259,2,17,281
Fairfield,New Canaan City CT,State Assembly,142,WF,Andy Garfunkel,0,8,0,0,8
Fairfield,New Canaan City CT,State Assembly,142,IND,Fred Wilms,0,25,0,3,28
Fairfield,New Canaan City CT,State Assembly,125,REP,Tom O'Dea,46,4093,9,328,4476
Fairfield,New Canaan City CT,State Assembly,125,Green,David Bedell,6,495,2,36,539
Fairfield,New Canaan City CT,State Assembly,125,write-in,write-in,0,3,0,0,3
Fairfield,New Canaan City CT,Secretary of State,,REP,Peter Lumaj,47,4299,8,330,4684
Fairfield,New Canaan City CT,Secretary of State,,DEM,Denise Merrill,23,1787,9,138,1957
Fairfield,New Canaan City CT,Secretary of State,,WF,Denise Merrill,0,44,0,3,47
Fairfield,New Canaan City CT,Secretary of State,,IND,Peter Lumaj,1,118,0,6,125
Fairfield,New Canaan City CT,Secretary of State,,Green,Michael DeRosa,1,78,0,7,86
Fairfield,New Canaan City CT,Secretary of State,,write-in,write-in,0,2,0,0,2
Fairfield,New Canaan City CT,State Treasurer,,REP,Tim Herbst,48,4406,8,352,4814
Fairfield,New Canaan City CT,State Treasurer,,DEM,Denise Nappier,19,1711,9,114,1853
Fairfield,New Canaan City CT,State Treasurer,,WF,Denise Nappier,0,49,0,9,58
Fairfield,New Canaan City CT,State Treasurer,,IND,Tim Herbst,3,142,0,12,157
Fairfield,New Canaan City CT,State Treasurer,,write-in,Rolf Maurer,0,3,0,0,3
Fairfield,New Canaan City CT,State Treasurer,,write-in,write-in,0,1,0,0,1
Fairfield,New Canaan City CT,Comptroller,,REP,Sharon McLaughlin,47,4406,8,326,4807
Fairfield,New Canaan City CT,Comptroller,,DEM,Kevin Lembo,20,1625,9,117,1771
Fairfield,New Canaan City CT,Comptroller,,WF,Kevin Lembo,1,42,0,4,47
Fairfield,New Canaan City CT,Comptroller,,IND,Sharon McLaughlin,3,137,0,12,152
Fairfield,New Canaan City CT,Comptroller,,Green,Rolf Maurer,0,75,0,7,82
Fairfield,New Canaan City CT,Comptroller,,write-in,write-in,0,2,0,0,2
Fairfield,New Canaan City CT,Attorney General,,REP,Kie Westby,47,4196,8,330,4581
Fairfield,New Canaan City CT,Attorney General,,DEM,George Jepsen,20,1900,9,138,2067
Fairfield,New Canaan City CT,Attorney General,,WF,George Jepsen,1,45,0,5,51
Fairfield,New Canaan City CT,Attorney General,,IND,Kie Westby,3,117,0,13,133
Fairfield,New Canaan City CT,Attorney General,,Green,Stephen Fournier,1,77,0,6,84
